epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,13928.7,1.39399,0.97526,0.93346,0.43576,0.32125,0.32425,0.18621,0.1884,1.34382,0.97136,0.922,0.003268,0.003268,0.003268
70,14126.1,1.39555,0.98161,0.93492,0.43784,0.32064,0.32629,0.18829,0.19,1.3451,0.97199,0.92177,0.003169,0.003169,0.003169
71,14324.2,1.39913,0.97866,0.93387,0.44823,0.31822,0.32719,0.18563,0.18959,1.34302,0.97002,0.92188,0.00307,0.00307,0.00307
72,14516.9,1.38841,0.971,0.93116,0.43611,0.3276,0.32775,0.18803,0.19001,1.33963,0.96705,0.92074,0.002971,0.002971,0.002971
73,14715.8,1.39241,0.96971,0.93191,0.4375,0.32453,0.32806,0.18653,0.18942,1.34219,0.96876,0.92072,0.002872,0.002872,0.002872
74,14909,1.3802,0.96246,0.93056,0.44806,0.3234,0.3281,0.18896,0.19072,1.34176,0.96538,0.92152,0.002773,0.002773,0.002773
75,15111.1,1.38773,0.9648,0.92972,0.43333,0.32782,0.32819,0.18646,0.18909,1.34205,0.96642,0.92081,0.002674,0.002674,0.002674
76,15304.6,1.38581,0.95922,0.93205,0.43489,0.32909,0.32893,0.18756,0.19083,1.34143,0.96629,0.92001,0.002575,0.002575,0.002575
77,15509.7,1.38148,0.9613,0.92917,0.44149,0.32312,0.32836,0.18947,0.19026,1.34448,0.96816,0.92084,0.002476,0.002476,0.002476
78,15703.2,1.36986,0.94797,0.92593,0.43412,0.32639,0.32872,0.18939,0.19014,1.34174,0.96825,0.92054,0.002377,0.002377,0.002377
79,15898.3,1.38033,0.95595,0.92866,0.44014,0.32607,0.32898,0.18842,0.19033,1.33752,0.96385,0.91896,0.002278,0.002278,0.002278
80,16099.7,1.37578,0.95155,0.92809,0.43898,0.32915,0.32999,0.18812,0.19051,1.33786,0.96401,0.91951,0.002179,0.002179,0.002179
81,16293,1.36931,0.9444,0.92655,0.45117,0.32111,0.33005,0.18761,0.19079,1.338,0.96153,0.91938,0.00208,0.00208,0.00208
82,16494.7,1.37532,0.94919,0.92675,0.44921,0.32316,0.3306,0.18901,0.19141,1.33739,0.96139,0.91956,0.001981,0.001981,0.001981
83,16690,1.36528,0.93801,0.92687,0.44488,0.32314,0.33065,0.18884,0.19136,1.33664,0.96253,0.91949,0.001882,0.001882,0.001882
84,16884.8,1.36091,0.93235,0.92592,0.44061,0.32779,0.33179,0.19217,0.19265,1.33591,0.96153,0.91966,0.001783,0.001783,0.001783
85,17082.4,1.37084,0.93971,0.92358,0.4337,0.33223,0.33205,0.19203,0.19264,1.33619,0.96217,0.91986,0.001684,0.001684,0.001684
86,17274.4,1.35701,0.9364,0.92389,0.43674,0.3286,0.33084,0.19163,0.19188,1.3368,0.96171,0.92004,0.001585,0.001585,0.001585
87,17469.5,1.35736,0.93003,0.92259,0.43894,0.32596,0.3302,0.19034,0.19163,1.3361,0.9606,0.91954,0.001486,0.001486,0.001486
88,17670.9,1.36107,0.92895,0.92167,0.43003,0.3305,0.33082,0.1918,0.19236,1.33561,0.96031,0.91895,0.001387,0.001387,0.001387
89,17863.6,1.35528,0.92398,0.92133,0.42841,0.33228,0.33219,0.19214,0.1926,1.33668,0.96098,0.91916,0.001288,0.001288,0.001288
90,18056.5,1.35462,0.92462,0.92305,0.42411,0.33678,0.3321,0.19301,0.19331,1.33542,0.96028,0.91908,0.001189,0.001189,0.001189
91,18256.1,1.32989,0.90298,0.92087,0.44527,0.32547,0.3312,0.19185,0.19244,1.34024,0.96112,0.92026,0.00109,0.00109,0.00109
92,18447.5,1.31912,0.88831,0.91615,0.44648,0.32218,0.3304,0.19153,0.19155,1.34337,0.9615,0.92092,0.000991,0.000991,0.000991
93,18645,1.31783,0.88371,0.91587,0.44847,0.32018,0.33062,0.19162,0.19207,1.34363,0.9616,0.92098,0.000892,0.000892,0.000892
94,18832.5,1.30995,0.87453,0.91403,0.44473,0.32421,0.33082,0.1917,0.19206,1.34368,0.96138,0.92098,0.000793,0.000793,0.000793
95,19026.6,1.30696,0.87355,0.91612,0.45049,0.32057,0.33019,0.19222,0.19221,1.34476,0.96214,0.92124,0.000694,0.000694,0.000694
96,19222.2,1.30114,0.8683,0.91443,0.4507,0.32074,0.33022,0.19172,0.19164,1.34477,0.96206,0.92093,0.000595,0.000595,0.000595
97,19415.3,1.2966,0.86095,0.91251,0.45177,0.32115,0.33072,0.19249,0.19204,1.34436,0.96239,0.92071,0.000496,0.000496,0.000496
98,19612.1,1.29789,0.86135,0.91168,0.45188,0.32157,0.33067,0.19214,0.19184,1.345,0.96287,0.92072,0.000397,0.000397,0.000397
99,19807.6,1.29353,0.85635,0.91173,0.4558,0.32091,0.33095,0.19316,0.19221,1.34498,0.96324,0.92088,0.000298,0.000298,0.000298
100,19999.4,1.3015,0.8626,0.91107,0.45006,0.3227,0.33101,0.19263,0.19209,1.34533,0.96286,0.92096,0.000199,0.000199,0.000199
